# cc0=81 cc32=2
Harmon Mute
Tp&Sax Sect
Sax+Tp+Tb
Brass Sect
Trombone
Hybrid Bones
Noble Horns
Massed Horns
Horn Swell
Brass It!
Brass Attack
Archimede
Rugby Horn
MKS-80 Brass
True ANALOG
Dark Vox
Random Vowels
Angels Sing
Pvox Oooze
Longing...
Arasian Morn
Beauty Vox
Mary-AnneVox
Belltree Vox
Vox Panner
Spaced Voxx
Glass Voices
Tubular Vox
Velo Voxx
Wavox
Doos
Synvox Comps
Vocal Oohz
LFO Vox
St. Strings
Warm Strings
Somber Str
Marcato
Bright Str
String Ens
TremoloStrng
Chambers
ViolinCello
Symphonique
Film Octaves
Film Layers
Bass Pizz
Real Pizz
Harp On It
Harp
JP-8 Str 1
JP-8 Str 2
E-Motion Pad
JP-8 Str 3
Vintage Orch
JUNO Strings
Gigantalog
PWM Strings
Warmth
ORBit Pad
Deep Strings
Pulsify
Pulse Pad
Greek Power
Harmonicum
D-50 Heaven
Afro Horns
Pop Pad
Dreamesque
Square Pad
JP-8 Hollow
JP-8Haunting
Heirborne
Hush Pad
Jet Pad 1
Jet Pad 2
Phaze Pad
Phaze Str
Jet Str Ens
Pivotal Pad
3D Flanged
Fantawine
Glassy Pad
Moving Glass
Glasswaves
Shiny Pad
ShiftedGlass
Chime Pad
Spin Pad
Rotary Pad
Dawn 2 Dusk
Aurora
Strobe Mode
Albion
Running Pad
Stepped Pad
Random Pad
SoundtrkDANC
Flying Waltz
Vanishing
5th Sweep
Phazweep
Big BPF
MG Sweep
CeremonyTimp
Dyno Toms
Sands ofTime
Inertia
Vektogram
Crash Pad
Feedback VOX
Cascade
Shattered
NextFrontier
Pure Tibet
Chime Wash
Night Shade
Tortured
Dissimilate
Dunes
Ocean Floor
Cyber Space
Biosphere
Variable Run
Ice Hall
ComputerRoom
Inverted
Terminate

