# cc0=81 cc32=4
Echo Piano
Upright Pno
RD-1000
Player's EP
D-50 Rhodes
Innocent EP
Echo Rhodes
See-Thru EP
FM BellPiano
Ring E.Piano
Soap Opera
Dirty Organ
Surf's Up
Organesque
pp Harmonium
PieceOfCheez
Harpsy Clav
Exotic Velo
HolidayCheer
Morning Lite
Prefab Chime
Belfry Chime
Stacc.Heaven
2.2 Bell Pad
Far East
Wire Pad
PhaseBlipper
Sweep Clav
Glider
Solo Steel
DesertCrystl
Clear Guitar
Solo Strat
Feed Me!
Tube Smoke
Creamy
Blusey OD
Grindstone
OD 5ths
East Europe
Dulcitar
Atmos Harp
Pilgrimage
202 Rude Bs
2pole Bass
4pole Bass
Phaser MC
Miniphaser
Acid TB
Full Orchest
Str+Winds
Flute 2080
Scat Flute
Sax Choir
Ballad Trump
Sm.Brass Grp
Royale
Brass Mutes
Breathy Brs
3 Osc Brass
P5 Polymod
Triumph Brs
Techno Dream
Organizer
Civilization
Mental Chord
House Chord
Sequalog
Booster Blips
VintagePlunk
Plik-Plok
RingSequence
Cyber Swing
Keep :-)
Resojuice
B'on d'moov
Dist TB-303
Temple of JV
Planet Asia
Afterlife
Trancing Pad
Pulsatronic
Cyber Dreams
Warm Pipe
Pure Pipe
SH-2000
X..? Whistle
Jay Vee Solo
Progresso Ld
Adrenaline
Enlighten
Glass Blower
Earth Blow
JX SqrCarpet
Dimensional
Jupiterings
Analog Drama
Rich Dynapad
Silky Way
Gluey Pad
BandPass Mod
Soundtraque
Translucence
Darkshine
D'light
December Sky
Octapad
JUNO Power!
Spectrum Mod
Stringsheen
GR500 TmpDly
Mod DirtyWav
Silicon Str
D50FantaPerc
Rotodreams
Blue Notes
RiversOfTime
Phobos
2 0 8 0
Unearthly
Glistening
Sci-Fi Str
Shadows
Helium Queen
Sci-Fi FX x4
Perky Noize
Droplet
Rain Forest

